"relative_path","category","title_from_filename","size_bytes"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline\501. Leveraging passive RFID technology for construction resource field mobility and status monitoring in a high-rise renovation project.pdf","01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline","501. Leveraging passive RFID technology for construction resource field mobility and status monitoring in a high-rise renovation project","3321935"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline\502. Automated detection and classification of construction workers' loss of balance events using wearable insole pressure sensors.pdf","01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline","502. Automated detection and classification of construction workers' loss of balance events using wearable insole pressure sensors","1937014"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline\503. Monitoring safety behaviors of scaffolding workers using Gramian angular field convolution neural network based on IMU sensing data.pdf","01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline","503. Monitoring safety behaviors of scaffolding workers using Gramian angular field convolution neural network based on IMU sensing data","10570191"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline\505. Problems with safety observation reporting - A construction industry case study.pdf","01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline","505. Problems with safety observation reporting - A construction industry case study","1036190"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline\530. Occupational health and safety in the construction industry.pdf","01. Baseline Papers - The Problem Branch\A) Sensors, Hardware & Manual Baseline","530. Occupational health and safety in the construction industry","221935"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\B) NLP Baseline\514. automated-information-transformation-for-automated-regulatory-compliance-checking-in-construction.pdf","01. Baseline Papers - The Problem Branch\B) NLP Baseline","514. automated-information-transformation-for-automated-regulatory-compliance-checking-in-construction","3437630"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\B) NLP Baseline\515. Ontology-based semantic modeling of construction safety knowledge - Towards automated safety planning for job hazard analysis (JHA).pdf","01. Baseline Papers - The Problem Branch\B) NLP Baseline","515. Ontology-based semantic modeling of construction safety knowledge - Towards automated safety planning for job hazard analysis (JHA)","2643161"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\B) NLP Baseline\516. ontology-based-semantic-modeling-of-knowledge-in-construction-classification-and-identification-of.pdf","01. Baseline Papers - The Problem Branch\B) NLP Baseline","516. ontology-based-semantic-modeling-of-knowledge-in-construction-classification-and-identification-of","2164153"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\B) NLP Baseline\517. Integrating NLP and context-free grammar for complex rule interpretation towards automated compliance checking.pdf","01. Baseline Papers - The Problem Branch\B) NLP Baseline","517. Integrating NLP and context-free grammar for complex rule interpretation towards automated compliance checking","12996786"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\B) NLP Baseline\518. Deep learning-based relation extraction and knowledge graph-based representation of construction safety requirements.pdf","01. Baseline Papers - The Problem Branch\B) NLP Baseline","518. Deep learning-based relation extraction and knowledge graph-based representation of construction safety requirements","4402982"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\504. Benefits and Barriers of Construction Project Monitoring Using High-Resolution Automated Cameras.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","504. Benefits and Barriers of Construction Project Monitoring Using High-Resolution Automated Cameras","639738"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\508. Construction worker detection in video frames for initializing vision trackers.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","508. Construction worker detection in video frames for initializing vision trackers","2869051"
