ref,year,paradigm,app,focus,uses_public,algorithm_model,validation_metric
88,2020,B,Progress,Progress Tracking,False,Image Captioning Networks (CNN + RNN language model),"mAP, IoU"
96,2020,B,Progress,Progress Tracking / Site Management,False,VGG-16 / ResNet-50 + LSTM,"CIDEr-D, Rouge-L, BLEU-1 to 4, SPICE"
74,2022,B,Progress,Progress Tracking,False,Tsfm-SCST (Transformer with Self-Critical Sequence Training),"Precision, Recall, F1 Score, BLEU, METEOR, CIDEr, SPICE"
92,2023,B,Safety,Safety,False,ResNet/DenseNet + LSTM (Deep Learning Attention Mechanism),BLEU (BLEU-1 to 4)
98,2023,A,Progress,Progress Tracking,False,Zero-Shot Learning (CLIP) + YOLOv5 + SORT,"Productivity Accuracy (%), Precision, Recall"
56,2024,C,Progress,Progress Tracking,False,Omni-Scan2BIM (Vision Foundation Model DINOv2 + SAM),Visual evaluation
62,2024,A,Progress,Progress Tracking,True,CLIP (Zero-shot/Few-shot) + TIP-X + Multi-modal prototypes,Accuracy (%)
66,2024,A,Safety,Safety,False,Pose-estimation + ClipCap + Text Embedding (Cosine Similarity),"Accuracy, Precision, Recall, F1-score, F2-score"
91,2024,C,Safety,Safety,True,Deep Learning / Vision-Language Models,"Recall@5, Recall@10, SPICE, Accuracy"
93,2024,B,Safety,Safety,False,Dense Captioning Models + Word2Vec / Cosine Similarity,"Precision, Recall, F1 Score (Similarity Score)"
94,2024,B,Progress,Progress Tracking / Site Management,True,VisualSiteDiary / Vision-Language Transformer (mPLUG model),"BLEU, METEOR, ROUGE_L, CIDEr, SPICE"
97,2024,C,Progress,Progress Tracking / Site Management,False,Computer Vision module (YOLOv5 + SORT) + Large Language Model (ChatGPT),"Accuracy (Avg ~91%), Likert Scale (Human Evaluation)"
100,2024,A,Safety,Safety/ Compliance,False,Transformer-based Few-Shot Detection + Spatial Attention,"Precision, Recall, mAP, F-1"
101,2024,A,Progress,Progress Tracking/ Resource Management,False,Vision-Language Model (ConCLIP): CNNs + BERT + PFIN,"Precision, Recall, Accuracy, F1-score, Weighted Accuracy"
24,2025,C,Safety,Safety,False,CogAgent (VLM) + Ontology + GroundingDINO + GPT-4V,"Sensitivity (86.5%), Specificity, TP/TN/FP/FN"
43,2025,A,Progress,Progress Tracking,True,Knowledge-Enhanced VLM (DINOv2 + CLIP + TIP-X/Adapter),mAP
99,2025,C,Progress,Progress Tracking,False,Florence-2 (Detection) + SAM2 (Tracking) + GPT-4o mini / Gemini 1.5 Flash,"Accuracy (%), Processing Time"
2,2026,C,Safety,Safety,False,YOLOv12 + LLM (GPT-4V) + Mobile Chatbot,"mAP, Precision, Recall, F1, BLEU, ROUGE"
11,2026,C,Progress,Progress Tracking,False,VLM (Claude 3.7 Sonnet) + Next-best-view (NBV) planning,"Accuracy, Precision, Recall, F1 Score"
