ref,year,focus,algorithm_model,dataset_detail,validation_metric
88,2020,Progress Tracking,Image Captioning Networks (CNN + RNN language model),Private/Custom (UAV-acquired construction site images),"mAP, IoU"
96,2020,Progress Tracking / Site Management,VGG-16 / ResNet-50 + LSTM,"Private (Dataset I & II: Cart transportation, Masonry, Rebar, etc.)","CIDEr-D, Rouge-L, BLEU-1 to 4, SPICE"
74,2022,Progress Tracking,Tsfm-SCST (Transformer with Self-Critical Sequence Training),Custom (Construction machine objects),"Precision, Recall, F1 Score, BLEU, METEOR, CIDEr, SPICE"
92,2023,Safety,ResNet/DenseNet + LSTM (Deep Learning Attention Mechanism),"Private (Rebar, Concrete, Scaffold workers)",BLEU (BLEU-1 to 4)
98,2023,Progress Tracking,Zero-Shot Learning (CLIP) + YOLOv5 + SORT,Custom (Videos from 7 construction sites),"Productivity Accuracy (%), Precision, Recall"
56,2024,Progress Tracking,Omni-Scan2BIM (Vision Foundation Model DINOv2 + SAM),Private (Data collected from real construction site in Hong Kong),Visual evaluation
62,2024,Progress Tracking,CLIP (Zero-shot/Few-shot) + TIP-X + Multi-modal prototypes,"Public/Custom (SODA: 14 classes, TOCS: 22 classes)",Accuracy (%)
66,2024,Safety,Pose-estimation + ClipCap + Text Embedding (Cosine Similarity),Custom/Field Data (Validating worker body parts),"Accuracy, Precision, Recall, F1-score, F2-score"
91,2024,Safety,Deep Learning / Vision-Language Models,Private (Real-world images & benchmarks),"Recall@5, Recall@10, SPICE, Accuracy"
93,2024,Safety,Dense Captioning Models + Word2Vec / Cosine Similarity,"Custom (""ConDenseCap"" dataset)","Precision, Recall, F1 Score (Similarity Score)"
94,2024,Progress Tracking / Site Management,VisualSiteDiary / Vision-Language Transformer (mPLUG model),"Custom (VSD dataset built from ACID, SODA, etc.)","BLEU, METEOR, ROUGE_L, CIDEr, SPICE"
97,2024,Progress Tracking / Site Management,Computer Vision module (YOLOv5 + SORT) + Large Language Model (ChatGPT),Custom (Construction site surveillance videos spanning 5 workdays),"Accuracy (Avg ~91%), Likert Scale (Human Evaluation)"
100,2024,Safety/ Compliance,Transformer-based Few-Shot Detection + Spatial Attention,"Custom (1,098 images, 39 classes, 21 attributes)","Precision, Recall, mAP, F-1"
101,2024,Progress Tracking/ Resource Management,Vision-Language Model (ConCLIP): CNNs + BERT + PFIN,"Custom ""VL-CSW"" Dataset (105,000 image-text pairs)","Precision, Recall, Accuracy, F1-score, Weighted Accuracy"
24,2025,Safety,CogAgent (VLM) + Ontology + GroundingDINO + GPT-4V,Private/Custom (Annotated construction scenes),"Sensitivity (86.5%), Specificity, TP/TN/FP/FN"
43,2025,Progress Tracking,Knowledge-Enhanced VLM (DINOv2 + CLIP + TIP-X/Adapter),Private/Custom (Self-constructed T&M) + Public (ACID),mAP
99,2025,Progress Tracking,Florence-2 (Detection) + SAM2 (Tracking) + GPT-4o mini / Gemini 1.5 Flash,"Custom MCQ Dataset (263 spatial, temporal, and task inference questions)","Accuracy (%), Processing Time"
2,2026,Safety,YOLOv12 + LLM (GPT-4V) + Mobile Chatbot,"Private/Custom (Ladder, Scaffold, Welding)","mAP, Precision, Recall, F1, BLEU, ROUGE"
11,2026,Progress Tracking,VLM (Claude 3.7 Sonnet) + Next-best-view (NBV) planning,Custom/Simulated (Real-world building + Unreal Engine 5),"Accuracy, Precision, Recall, F1 Score"
